                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     19,                 1.5193,                0.95433,                 1.1731,                0.88767,                0.82662,                0.85387,                0.45228,                 1.7155,                0.91147,                 1.1742,              0.0013268,              0.0013268,              0.0013268
                     20,                 1.4683,                0.92489,                 1.1576,                 0.8771,                  0.841,                0.87722,                0.52077,                 1.4428,                0.81311,                 1.1077,              0.0012872,              0.0012872,              0.0012872
                     21,                 1.4804,                0.90461,                 1.1568,                0.90417,                0.83264,                 0.8713,                0.49784,                 1.4736,                0.82976,                 1.1177,              0.0012476,              0.0012476,              0.0012476
                     22,                 1.4883,                0.88849,                 1.1566,                0.89127,                0.82318,                0.88597,                0.52183,                 1.4823,                0.86212,                 1.0893,               0.001208,               0.001208,               0.001208
                     23,                 1.3688,                0.85757,                 1.0954,                0.89525,                0.82427,                0.84493,                0.43863,                 1.5556,                0.85339,                 1.1116,              0.0011684,              0.0011684,              0.0011684
                     24,                 1.3913,                 0.8765,                 1.1187,                 0.9343,                  0.841,                0.88019,                 0.5178,                 1.4613,                0.75957,                 1.1012,              0.0011288,              0.0011288,              0.0011288
                     25,                 1.3359,                0.82317,                 1.1071,                0.89995,                0.79498,                0.86135,                0.51696,                 1.4163,                0.77989,                 1.0878,              0.0010892,              0.0010892,              0.0010892
                     26,                 1.3491,                0.84883,                 1.1174,                0.91646,                0.82618,                0.87202,                 0.4884,                 1.5399,                0.76551,                 1.1039,              0.0010496,              0.0010496,              0.0010496
                     27,                 1.3071,                0.82175,                  1.091,                0.93828,                0.84519,                0.89397,                0.50232,                 1.4745,                0.76038,                 1.0706,                0.00101,                0.00101,                0.00101
                     28,                 1.3165,                0.82125,                 1.0748,                0.92775,                0.84937,                0.89652,                0.52844,                  1.455,                 0.8126,                 1.0642,              0.0009704,              0.0009704,              0.0009704
                     29,                  1.267,                0.78469,                 1.0719,                0.91984,                0.86427,                0.89806,                0.54701,                 1.3755,                0.71968,                 1.0494,              0.0009308,              0.0009308,              0.0009308
                     30,                 1.2844,                0.77593,                 1.0741,                0.91686,                0.87673,                0.90378,                0.54596,                 1.3153,                0.73999,                 1.0348,              0.0008912,              0.0008912,              0.0008912
                     31,                 1.2587,                0.78604,                 1.0502,                0.93534,                0.87029,                0.90723,                0.58946,                 1.2885,                0.70482,                 1.0203,              0.0008516,              0.0008516,              0.0008516
                     32,                 1.2356,                0.76705,                 1.0531,                0.87964,                0.84519,                0.88949,                0.55275,                 1.3192,                0.75142,                 1.0335,               0.000812,               0.000812,               0.000812
                     33,                 1.2224,                0.76425,                 1.0622,                 0.9293,                0.87994,                0.90023,                0.59384,                  1.214,                0.66153,                 1.0149,              0.0007724,              0.0007724,              0.0007724
                     34,                 1.2649,                0.76998,                 1.0908,                0.93082,                0.84451,                0.87822,                0.51628,                 1.3609,                0.76125,                 1.0405,              0.0007328,              0.0007328,              0.0007328
                     35,                 1.2906,                0.77271,                 1.0655,                0.91671,                0.89121,                0.91363,                0.53434,                 1.3622,                0.70846,                  1.032,              0.0006932,              0.0006932,              0.0006932
                     36,                 1.2143,                0.74565,                 1.0458,                0.92583,                0.88794,                0.91706,                0.58914,                 1.3346,                0.65681,                 1.0075,              0.0006536,              0.0006536,              0.0006536
                     37,                 1.1906,                0.70341,                 1.0322,                0.92476,                0.87425,                0.90392,                0.59108,                  1.277,                0.67319,                 1.0151,               0.000614,               0.000614,               0.000614
                     38,                 1.1458,                0.69163,                 1.0099,                0.92615,                0.84937,                0.89668,                0.55552,                 1.3178,                0.66962,                 1.0269,              0.0005744,              0.0005744,              0.0005744
                     39,                   1.19,                0.72103,                 1.0598,                0.94006,                0.88703,                0.91029,                 0.5984,                 1.1976,                 0.6607,                 1.0245,              0.0005348,              0.0005348,              0.0005348
                     40,                 1.1054,                0.68412,                 1.0069,                0.92523,                0.87448,                0.90882,                0.60966,                 1.1747,                0.68245,                0.99326,              0.0004952,              0.0004952,              0.0004952
                     41,                 1.0848,                0.70431,                 1.0459,                0.92882,                0.86611,                0.90932,                0.61561,                 1.1472,                 0.6443,                0.98949,              0.0004556,              0.0004556,              0.0004556
                     42,                 1.0833,                0.66838,                 1.0265,                0.93676,                0.86764,                0.90766,                0.59773,                 1.1645,                0.64561,                0.98674,               0.000416,               0.000416,               0.000416
                     43,                 1.0412,                 0.6469,                 1.0132,                0.94847,                0.84708,                0.91108,                0.60363,                 1.1501,                0.62424,                0.99248,              0.0003764,              0.0003764,              0.0003764
                     44,                 1.0666,                0.65876,                 1.0362,                0.92434,                0.86905,                0.90127,                0.57893,                 1.2018,                0.64118,                0.99876,              0.0003368,              0.0003368,              0.0003368
                     45,                 1.0231,                0.62503,                 1.0186,                0.94643,                0.88699,                0.91749,                0.63486,                 1.0902,                0.58765,                0.97913,              0.0002972,              0.0002972,              0.0002972
                     46,                 1.0124,                  0.621,                 1.0257,                0.93404,                0.87866,                0.91312,                0.62934,                 1.1062,                0.59582,                0.97879,              0.0002576,              0.0002576,              0.0002576
                     47,                 1.0045,                0.61996,                 1.0126,                0.94119,                0.88703,                0.91334,                0.62269,                 1.1369,                0.60639,                0.98086,               0.000218,               0.000218,               0.000218
                     48,                0.96744,                 0.6154,                 1.0028,                0.93157,                0.88285,                0.91346,                0.64011,                 1.0596,                0.61754,                0.97711,              0.0001784,              0.0001784,              0.0001784
                     49,                0.97322,                0.62634,                 1.0062,                0.94195,                0.88264,                0.91899,                0.64667,                 1.0577,                0.59497,                0.97699,              0.0001388,              0.0001388,              0.0001388
                     50,                0.96149,                0.59192,                 1.0018,                0.94555,                0.87191,                0.91994,                0.65353,                  1.029,                0.58086,                0.96987,               9.92e-05,               9.92e-05,               9.92e-05
