                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.1485,                 15.925,                 4.2126,                      0,                      0,                      0,                      0,                 5.2085,                 23.431,                 3.6918,             0.00065116,             0.00065116,             0.00065116
                      2,                 3.7789,                 6.3285,                 2.8776,                      0,                      0,                      0,                      0,                 5.2664,                 10.136,                 3.9783,              0.0012917,              0.0012917,              0.0012917
                      3,                 3.0727,                  4.196,                 2.2521,                0.35905,                0.17155,                0.11969,                0.03917,                 2.4628,                 3.4302,                 2.0737,              0.0019059,              0.0019059,              0.0019059
                      4,                  2.686,                 2.8983,                 2.0286,                0.08297,                0.19247,                0.03106,                 0.0073,                 2.7176,                 37.028,                 2.0612,              0.0018812,              0.0018812,              0.0018812
                      5,                 2.4368,                 2.2246,                 1.7631,                0.45903,                0.46444,                0.38434,                0.14648,                 2.4945,                 2.0917,                 1.7501,              0.0018812,              0.0018812,              0.0018812
                      6,                 2.2254,                  1.824,                 1.6689,                 0.6263,                0.52301,                0.55901,                0.23018,                 2.2669,                 2.0005,                 1.5957,              0.0018416,              0.0018416,              0.0018416
                      7,                 2.0446,                  1.612,                 1.5207,                  0.523,                0.57804,                0.56316,                 0.2202,                 2.3305,                  1.477,                 1.5492,               0.001802,               0.001802,               0.001802
                      8,                 2.0877,                 1.5046,                 1.4972,                0.66782,                0.66109,                0.64428,                 0.2892,                  2.265,                  1.385,                 1.5412,              0.0017624,              0.0017624,              0.0017624
                      9,                 1.9182,                 1.3568,                 1.4644,                0.74073,                0.61506,                0.69762,                0.30919,                 2.0658,                 1.2712,                 1.4001,              0.0017228,              0.0017228,              0.0017228
                     10,                 1.7964,                 1.2495,                 1.3608,                0.70954,                0.64017,                0.68557,                0.28151,                 2.1781,                 1.2623,                 1.4127,              0.0016832,              0.0016832,              0.0016832
                     11,                 1.8551,                  1.255,                 1.3458,                0.66086,                0.61151,                0.63065,                0.26542,                 2.1973,                 1.3373,                 1.3798,              0.0016436,              0.0016436,              0.0016436
                     12,                 1.7868,                  1.189,                 1.3172,                0.85039,                0.76107,                0.79324,                0.37861,                 1.9163,                  1.245,                 1.2815,               0.001604,               0.001604,               0.001604
                     13,                 1.6505,                 1.1023,                 1.2773,                0.84839,                0.74923,                0.81704,                0.42306,                 1.6239,                 1.0236,                 1.2096,              0.0015644,              0.0015644,              0.0015644
                     14,                  1.679,                 1.1168,                 1.2445,                 0.8166,                0.77406,                 0.8101,                0.42947,                 1.7285,                 1.0992,                 1.2285,              0.0015248,              0.0015248,              0.0015248
                     15,                 1.5654,                 1.0353,                 1.2219,                0.83494,                0.78661,                0.83422,                0.43241,                 1.8066,                 1.0566,                 1.2399,              0.0014852,              0.0014852,              0.0014852
                     16,                 1.5332,                 1.0337,                 1.2152,                0.91267,                0.79916,                0.83945,                0.45739,                 1.7235,                0.99408,                 1.2284,              0.0014456,              0.0014456,              0.0014456
                     17,                 1.5504,                 1.0051,                 1.1939,                 0.8812,                0.78661,                0.83671,                0.46193,                  1.783,                 1.1715,                 1.2099,               0.001406,               0.001406,               0.001406
                     18,                 1.5385,                0.97362,                 1.1763,                0.88067,                0.77197,                0.83517,                0.40319,                 1.8675,                0.97387,                 1.2148,              0.0013664,              0.0013664,              0.0013664
