                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.8141,                 5.3447,                 4.3028,                  7e-05,                0.02128,                  4e-05,                  1e-05,                 3.6561,                 5.7498,                 4.1599,                0.00058,                0.00058,                0.00058
                      2,                  3.513,                 4.3804,                  3.835,                  5e-05,                0.01418,                  3e-05,                  1e-05,                 3.6692,                  5.038,                 4.2034,              0.0011683,              0.0011683,              0.0011683
                      3,                 3.1378,                 3.6964,                 3.2515,                  3e-05,                0.00709,                  2e-05,                  1e-05,                 3.6833,                 5.2313,                 4.2524,              0.0017448,              0.0017448,              0.0017448
                      4,                 2.8114,                 3.5055,                 3.0013,                0.33592,                0.11348,                0.09315,                 0.0386,                 3.2323,                 4.0776,                 3.5823,              0.0019406,              0.0019406,              0.0019406
                      5,                 2.5945,                 2.8926,                 2.7744,                0.22454,                0.25532,                0.11718,                 0.0294,                 3.0086,                 3.5171,                 3.0741,              0.0019406,              0.0019406,              0.0019406
                      6,                  2.411,                 2.5413,                 2.5626,                0.09787,                0.19858,                0.07238,                0.02287,                 2.2423,                 3.2265,                 2.6983,              0.0019208,              0.0019208,              0.0019208
